,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
15817,212052834,3115,,INVESTIGATE PERSON,D4,147,0,7/30/21 21:44,2021,7,Friday,21,,CLAREMONT PARK,42.34210486,-71.08118057,"(42.3421048634178, -71.081180565596)"
15966,212052643,3810,,M/V ACCIDENT - INVOLVING BICYCLE - INJURY,D4, ,0,7/30/21 10:00,2021,7,Friday,10,,"MASSACHUSETTS AVE & TREMONT ST
BOSTON  MA 02118
UN",42.33930997,-71.08032002,"(42.3393099710364, -71.0803200199634)"
16129,212052423,3115,,INVESTIGATE PERSON,D4, ,0,7/29/21 14:09,2021,7,Thursday,14,,"WASHINGTON ST & NORTHAMPTON ST
ROXBURY  MA 02118
U",42.33598899,-71.07764698,"(42.3359889921815, -71.0776469761395)"
16239,212052290,3115,,INVESTIGATE PERSON,D4, ,0,7/29/21 4:10,2021,7,Thursday,4,,"HARRISON AVE & E SPRINGFIELD ST
BOSTON  MA 02118
U",42.33546004,-71.07448902,"(42.3354600380584, -71.0744890150501)"
16290,212052214,3007,,SUDDEN DEATH,D4,270,0,7/28/21 18:49,2021,7,Wednesday,18,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)"
16404,212052053,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,170,0,7/28/21 10:20,2021,7,Wednesday,10,,"MASSACHUSETTS AVE & WASHINGTON ST
BOSTON  MA 02118",42.33645001,-71.07702795,"(42.3364500076483, -71.077027948585)"
16503,212051921,1402,,VANDALISM,D4,273,0,7/27/21 19:54,2021,7,Tuesday,19,,WASHINGTON ST,42.33543509,-71.07840204,"(42.3354350942456, -71.0784020363859)"
16574,212051834,2610,,TRESPASSING,D4,171,0,7/27/21 0:00,2021,7,Tuesday,0,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
16588,212051816,3006,,SICK/INJURED/MEDICAL - PERSON,D4,271,0,7/27/21 13:45,2021,7,Tuesday,13,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
16594,212051809,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,0,7/26/21 12:00,2021,7,Monday,12,,SAINT BOTOLPH ST,42.3423321,-71.08390336,"(42.342332097233, -71.0839033575219)"
16613,212051782,3115,,INVESTIGATE PERSON,D4,170,0,7/26/21 18:35,2021,7,Monday,18,,WASHINGTON ST,42.33675015,-71.07662788,"(42.3367501542294, -71.0766278793634)"
16649,212051737,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4, ,0,7/27/21 9:20,2021,7,Tuesday,9,,CHESTER PARK,42.33845914,-71.07885481,"(42.3384591442318, -71.0788548120365)"
16652,212051734,1402,,VANDALISM,D4,172,0,7/26/21 15:00,2021,7,Monday,15,,MASSACHUSETTS AVE,42.33311189,-71.0727637,"(42.3331118903074, -71.0727636993273)"
16677,212051694,801,,ASSAULT - SIMPLE,D4,273,0,7/26/21 22:40,2021,7,Monday,22,,WASHINGTON ST,42.33543509,-71.07840204,"(42.3354350942456, -71.0784020363859)"
16738,212051606,1402,,VANDALISM,D4, ,0,7/26/21 18:20,2021,7,Monday,18,,WASHINGTON ST,42.33543509,-71.07840204,"(42.3354350942456, -71.0784020363859)"
16760,212051578,3115,,INVESTIGATE PERSON,D4,271,0,7/26/21 16:41,2021,7,Monday,16,,NORTHAMPTON ST,42.33463662,-71.07597593,"(42.3346366198417, -71.0759759263247)"
16872,212051423,613,,LARCENY SHOPLIFTING,D4,270,0,7/26/21 8:30,2021,7,Monday,8,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
16894,212051392,520,,BURGLARY - RESIDENTIAL,D4,145,0,7/26/21 1:23,2021,7,Monday,1,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
16911,212051373,3005,,SICK ASSIST,D4,273,0,7/25/21 22:14,2021,7,Sunday,22,,SHAWMUT AVE,42.33701214,-71.07853797,"(42.3370121426288, -71.0785379724734)"
16916,212051368,423,,ASSAULT - AGGRAVATED,D4,270,0,7/25/21 22:08,2021,7,Sunday,22,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
17102,212051085,3115,,INVESTIGATE PERSON,D4, ,0,7/24/21 21:45,2021,7,Saturday,21,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)"
17125,212051056,801,,ASSAULT - SIMPLE,D4,171,0,7/24/21 20:12,2021,7,Saturday,20,,HARRISON AVE,42.33511904,-71.0749171,"(42.3351190394661, -71.0749170961373)"
17136,212051043,3301,,VERBAL DISPUTE,D4, ,0,7/24/21 19:18,2021,7,Saturday,19,,"ALBANY ST & MASSACHUSETTS AVE
BOSTON  MA 02118
UNI",42.33349998,-71.07351,"(42.3334999801716, -71.0735099961732)"
17153,212051024,3005,,SICK ASSIST,D4,271,0,7/24/21 18:03,2021,7,Saturday,18,,MASSACHUSETTS AVE,42.335482,-71.07586449,"(42.3354820018339, -71.0758644934091)"
17313,212050802,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,170,0,7/23/21 20:58,2021,7,Friday,20,,E SPRINGFIELD ST,42.3367915,-71.07608909,"(42.3367915004229, -71.0760890913154)"
17338,212050771,3502,,MISSING PERSON - LOCATED,D4,171,0,7/23/21 18:42,2021,7,Friday,18,,HARRISON AVE,42.33511904,-71.0749171,"(42.3351190394661, -71.0749170961373)"
17441,212050632,423,,ASSAULT - AGGRAVATED,D4, ,0,7/23/21 11:32,2021,7,Friday,11,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)"
17468,212050588,3005,,SICK ASSIST,D4,270,0,7/23/21 9:56,2021,7,Friday,9,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
17469,212050587,423,,ASSAULT - AGGRAVATED,D4,170,0,7/23/21 9:30,2021,7,Friday,9,,WASHINGTON ST,42.33675015,-71.07662788,"(42.3367501542294, -71.0766278793634)"
17513,212050531,2905,,VAL - VIOLATION OF AUTO LAW,D4,271,0,7/23/21 1:41,2021,7,Friday,1,,MASSACHUSETTS AVE,42.335482,-71.07586449,"(42.3354820018339, -71.0758644934091)"
17584,212050426,3301,,VERBAL DISPUTE,D4,171,0,7/22/21 17:00,2021,7,Thursday,17,,HARRISON AVE,42.33511904,-71.0749171,"(42.3351190394661, -71.0749170961373)"
17612,212050391,3006,,SICK/INJURED/MEDICAL - PERSON,D4,284,0,7/22/21 15:07,2021,7,Thursday,15,,NORTHAMPTON ST,42.34055752,-71.08337167,"(42.3405575236167, -71.0833716675016)"
17628,212050369,3115,,INVESTIGATE PERSON,D4,270,0,7/22/21 14:25,2021,7,Thursday,14,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
17666,212050326,3502,,MISSING PERSON - LOCATED,D4,145,0,7/22/21 12:17,2021,7,Thursday,12,,MASSACHUSETTS AVE,42.34194788,-71.08362479,"(42.3419478819786, -71.0836247862163)"
17673,212050316,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,170,0,7/22/21 11:35,2021,7,Thursday,11,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)"
17694,212050291,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,170,0,7/22/21 9:41,2021,7,Thursday,9,,WASHINGTON ST,42.33675015,-71.07662788,"(42.3367501542294, -71.0766278793634)"
17784,212050169,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4, ,0,7/21/21 18:42,2021,7,Wednesday,18,,"MASSACHUSETTS AVE & HARRISON AVE
BOSTON  MA 02118
",42.33493701,-71.07515701,"(42.3349370067414, -71.0751570050041)"
17849,212050086,3803,,M/V ACCIDENT - PERSONAL INJURY,D4,597,0,7/21/21 16:01,2021,7,Wednesday,16,,COLUMBUS AVE,42.33961848,-71.0828558,"(42.3396184754172, -71.0828558033142)"
17991,212049897,1402,,VANDALISM,D4,172,0,7/20/21 23:00,2021,7,Tuesday,23,,MASSACHUSETTS AVE,42.33311189,-71.0727637,"(42.3331118903074, -71.0727636993273)"
18003,212049877,2670,,HARASSMENT/ CRIMINAL HARASSMENT,D4,171,0,7/20/21 20:52,2021,7,Tuesday,20,,HARRISON AVE,42.33511904,-71.0749171,"(42.3351190394661, -71.0749170961373)"
18097,212049759,423,,ASSAULT - AGGRAVATED,D4,171,0,7/20/21 13:37,2021,7,Tuesday,13,,HARRISON AVE,42.33511904,-71.0749171,"(42.3351190394661, -71.0749170961373)"
18192,212049632,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,D4,270,0,7/20/21 1:15,2021,7,Tuesday,1,,MASSACHUSETTS AVE,42.33421942,-71.07434616,"(42.3342194178955, -71.0743461570786)"
18236,212049565,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,270,0,7/19/21 19:05,2021,7,Monday,19,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
18365,212049393,1106,,FRAUD - CREDIT CARD / ATM FRAUD,D4,145,0,7/19/21 11:07,2021,7,Monday,11,,MASSACHUSETTS AVE,42.34194788,-71.08362479,"(42.3419478819786, -71.0836247862163)"
18386,212049364,1106,,FRAUD - CREDIT CARD / ATM FRAUD,D4,273,0,7/19/21 9:15,2021,7,Monday,9,,NORTHAMPTON ST,42.33798932,-71.08003746,"(42.3379893238422, -71.0800374587471)"
18430,212049298,3114,,INVESTIGATE PROPERTY,D4,270,0,7/18/21 21:57,2021,7,Sunday,21,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)"
18626,212049035,3005,,SICK ASSIST,D4,156,0,7/17/21 20:24,2021,7,Saturday,20,,MASSACHUSETTS AVE,42.33760719,-71.0782582,"(42.3376071908456, -71.0782582009363)"
18641,212049019,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,156,0,7/15/21 13:00,2021,7,Thursday,13,,W CONCORD ST,42.33961962,-71.07699237,"(42.3396196180069, -71.0769923673942)"
18663,212048988,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,145,0,7/17/21 17:27,2021,7,Saturday,17,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
18686,212048958,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4, ,0,7/17/21 14:48,2021,7,Saturday,14,,"HARRISON AVE & MASSACHUSETTS AVE
BOSTON  MA 02118
",42.33490996,-71.07517005,"(42.3349099560838, -71.0751700489333)"
18780,212048789,3201,,PROPERTY - LOST/ MISSING,D4,270,0,7/16/21 20:52,2021,7,Friday,20,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
18824,212048785,2647,,THREATS TO DO BODILY HARM,D4, ,0,7/16/21 20:28,2021,7,Friday,20,,"E SPRINGFIELD ST & WASHINGTON ST
BOSTON  MA 02118
",42.33698999,-71.07633994,"(42.3369899914674, -71.0763399438438)"
19016,212048537,801,,ASSAULT - SIMPLE,D4,270,0,7/15/21 21:10,2021,7,Thursday,21,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
19195,212048308,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4, ,0,7/14/21 19:58,2021,7,Wednesday,19,,"FELLOWS ST & NORTHAMPTON ST
ROXBURY  MA 02119
UNIT",42.333461,-71.07501803,"(42.333461000373, -71.0750180294251)"
19211,212048288,619,,LARCENY ALL OTHERS,D4,170,0,7/13/21 23:16,2021,7,Tuesday,23,,WASHINGTON ST,42.33675015,-71.07662788,"(42.3367501542294, -71.0766278793634)"
19217,212048281,617,,LARCENY THEFT FROM BUILDING,D4,270,0,7/14/21 18:17,2021,7,Wednesday,18,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)"
19305,212048168,3114,,INVESTIGATE PROPERTY,D4,171,0,7/14/21 11:41,2021,7,Wednesday,11,,HARRISON AVE,42.33511904,-71.0749171,"(42.3351190394661, -71.0749170961373)"
19330,212048136,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4, ,0,7/14/21 11:03,2021,7,Wednesday,11,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)"
19391,212048045,3006,,SICK/INJURED/MEDICAL - PERSON,D4, ,0,7/13/21 21:04,2021,7,Tuesday,21,,ALBANY ST,42.33318449,-71.07393881,"(42.333184490912, -71.0739388100238)"
19407,212048027,423,,ASSAULT - AGGRAVATED,D4,170,0,7/13/21 21:04,2021,7,Tuesday,21,,WASHINGTON ST,42.33675015,-71.07662788,"(42.3367501542294, -71.0766278793634)"
19425,212048004,801,,ASSAULT - SIMPLE,D4,145,0,7/13/21 18:28,2021,7,Tuesday,18,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
19444,212047979,613,,LARCENY SHOPLIFTING,D4,594,0,7/13/21 17:59,2021,7,Tuesday,17,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
19490,212047919,2905,,VAL - VIOLATION OF AUTO LAW,D4,271,0,7/13/21 14:35,2021,7,Tuesday,14,,NORTHAMPTON ST,42.33463662,-71.07597593,"(42.3346366198417, -71.0759759263247)"
19569,212047811,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,D4,172,0,7/13/21 7:01,2021,7,Tuesday,7,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
19580,212047793,3301,,VERBAL DISPUTE,D4, ,0,7/13/21 0:00,2021,7,Tuesday,0,,"MASSACHUSETTS AVE & HARRISON AVE
BOSTON  MA 02118
",42.33493701,-71.07515701,"(42.3349370067414, -71.0751570050041)"
19601,212047765,617,,LARCENY THEFT FROM BUILDING,D4,145,0,7/12/21 11:00,2021,7,Monday,11,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
19694,212047631,3115,,INVESTIGATE PERSON,D4,171,0,7/12/21 13:31,2021,7,Monday,13,,HARRISON AVE,42.33511904,-71.0749171,"(42.3351190394661, -71.0749170961373)"
19880,212047381,3115,,INVESTIGATE PERSON,D4,273,0,7/11/21 12:49,2021,7,Sunday,12,,MASSACHUSETTS AVE,42.33825572,-71.07920918,"(42.3382557219581, -71.0792091759945)"
19924,212047321,301,,ROBBERY,D4,171,0,7/11/21 7:37,2021,7,Sunday,7,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
19930,212047313,423,,ASSAULT - AGGRAVATED,D4,171,0,7/11/21 5:50,2021,7,Sunday,5,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)"
19959,212047268,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,7/10/21 23:05,2021,7,Saturday,23,,"MASSACHUSETTS AVE & WASHINGTON ST
BOSTON  MA 02118",42.33645001,-71.07702795,"(42.3364500076483, -71.077027948585)"
19996,212047216,3301,,VERBAL DISPUTE,D4, ,0,7/10/21 19:36,2021,7,Saturday,19,,"NORTHAMPTON ST & REED ST
ROXBURY  MA 02118
UNITED ",42.334917,-71.076323,"(42.3349170018243, -71.0763230005295)"
20025,212047175,2647,,THREATS TO DO BODILY HARM,D4,170,0,7/10/21 16:17,2021,7,Saturday,16,,WASHINGTON ST,42.33675015,-71.07662788,"(42.3367501542294, -71.0766278793634)"
20091,212047087,619,,LARCENY ALL OTHERS,D4, ,0,7/10/21 11:15,2021,7,Saturday,11,,"HARRISON AVE & MASSACHUSETTS AVE
BOSTON  MA 02118
",42.33490996,-71.07517005,"(42.3349099560838, -71.0751700489333)"
20111,212047062,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,172,0,7/10/21 9:23,2021,7,Saturday,9,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
20128,212047038,3114,,INVESTIGATE PROPERTY,D4,170,0,7/10/21 7:30,2021,7,Saturday,7,,WASHINGTON ST,42.33721215,-71.07597603,"(42.3372121541099, -71.0759760325963)"
20135,212047029,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,156,0,7/10/21 5:33,2021,7,Saturday,5,,W SPRINGFIELD ST,42.33930275,-71.07912378,"(42.3393027488002, -71.0791237835741)"
20182,212046963,2905,,VAL - VIOLATION OF AUTO LAW,D4,170,0,7/9/21 22:10,2021,7,Friday,22,,E CONCORD ST,42.33681394,-71.07362287,"(42.3368139375625, -71.0736228682025)"
20251,212046873,2905,,VAL - VIOLATION OF AUTO LAW,D4, ,0,7/9/21 15:59,2021,7,Friday,15,,"NORTHAMPTON ST & FELLOWS ST
ROXBURY  MA 02119
UNIT",42.333461,-71.07501803,"(42.333461000373, -71.0750180294251)"
20429,212002523,3005,,SICK ASSIST,D4,937,0,1/12/21 11:58,2021,1,Tuesday,11,,CAMDEN ST,42.33744114,-71.08057671,"(42.337441144368, -71.0805767102789)"
20460,212046597,2647,,THREATS TO DO BODILY HARM,D4,270,0,7/8/21 12:06,2021,7,Thursday,12,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)"
20461,212046596,2905,,VAL - VIOLATION OF AUTO LAW,D4, ,0,7/8/21 13:30,2021,7,Thursday,13,,MASSACHUSETTS AVE,42.33430734,-71.07422022,"(42.334307340205, -71.0742202225068)"
20496,212046549,423,,ASSAULT - AGGRAVATED,D4,270,0,7/8/21 10:05,2021,7,Thursday,10,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
20509,212046528,613,,LARCENY SHOPLIFTING,D4,270,0,7/8/21 8:39,2021,7,Thursday,8,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
20528,212046502,520,,BURGLARY - RESIDENTIAL,D4,156,0,7/8/21 2:32,2021,7,Thursday,2,,WORCESTER ST,42.33841441,-71.07679741,"(42.3384144127128, -71.0767974124717)"
20539,212046483,3006,,SICK/INJURED/MEDICAL - PERSON,D4,594,0,7/8/21 1:30,2021,7,Thursday,1,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
20541,212046478,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,7/8/21 0:15,2021,7,Thursday,0,,"TREMONT ST & MASSACHUSETTS AVE
BOSTON  MA 02118
UN",42.33930997,-71.08032002,"(42.3393099710364, -71.0803200199634)"
20638,212046354,3115,,INVESTIGATE PERSON,D4,594,0,7/7/21 14:44,2021,7,Wednesday,14,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
20687,212046286,613,,LARCENY SHOPLIFTING,D4,270,0,7/7/21 11:02,2021,7,Wednesday,11,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
20733,212046234,3115,,INVESTIGATE PERSON,D4, ,0,7/7/21 1:04,2021,7,Wednesday,1,,"TREMONT ST & W SPRINGFIELD ST
BOSTON  MA 02118
UNI",42.33968003,-71.07958994,"(42.3396800250871, -71.0795899399351)"
20771,212046179,423,,ASSAULT - AGGRAVATED,D4,156,0,7/6/21 19:50,2021,7,Tuesday,19,,MASSACHUSETTS AVE,42.33903373,-71.07997272,"(42.3390337336064, -71.0799727249646)"
20906,212045996,3018,,SICK/INJURED/MEDICAL - POLICE,D4, ,0,7/3/21 16:45,2021,7,Saturday,16,,"MASSACHUSETTS AVE & TREMONT ST
BOSTON  MA 02118
UN",42.33930997,-71.08032002,"(42.3393099710364, -71.0803200199634)"
20976,212045902,3114,,INVESTIGATE PROPERTY,D4, ,0,7/5/21 19:00,2021,7,Monday,19,,"COLUMBUS AVE & WELLINGTON ST
BOSTON  MA 02118
UNIT",42.34113104,-71.08114699,"(42.3411310385248, -71.0811469880401)"
21141,212045692,3114,,INVESTIGATE PROPERTY,D4,170,0,7/5/21 2:32,2021,7,Monday,2,,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.335621261539, -71.0758236057027)"
21230,212045563,3006,,SICK/INJURED/MEDICAL - PERSON,D4,271,0,7/4/21 15:52,2021,7,Sunday,15,,WASHINGTON ST,42.3353741,-71.0783156,"(42.3353740984913, -71.0783156023399)"
21250,212045540,3115,,INVESTIGATE PERSON,D4,953,0,7/4/21 13:45,2021,7,Sunday,13,,WASHINGTON ST,42.33721215,-71.07597603,"(42.3372121541099, -71.0759760325963)"
21285,212045494,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,273,0,7/4/21 9:40,2021,7,Sunday,9,,MASSACHUSETTS AVE,42.33899339,-71.08008595,"(42.3389933922745, -71.0800859481575)"
21323,212045441,801,,ASSAULT - SIMPLE,D4,171,0,7/4/21 0:28,2021,7,Sunday,0,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
21326,212045438,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4, ,0,7/3/21 23:13,2021,7,Saturday,23,,NORTHAMPTON ST,42.33487094,-71.07626631,"(42.3348709390923, -71.0762663094069)"
21366,212045379,3805,,M/V ACCIDENT - POLICE VEHICLE,D4, ,0,7/3/21 16:49,2021,7,Saturday,16,,"MASSACHUSETTS AVE & TREMONT ST
BOSTON  MA 02118
UN",42.33930997,-71.08032002,"(42.3393099710364, -71.0803200199634)"
21392,212045345,617,,LARCENY THEFT FROM BUILDING,D4,270,0,7/3/21 12:45,2021,7,Saturday,12,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
21519,212045181,3114,,INVESTIGATE PROPERTY,D4,594,0,2/10/21 12:00,2021,2,Wednesday,12,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
21522,212045177,801,,ASSAULT - SIMPLE,D4,271,0,7/2/21 17:50,2021,7,Friday,17,,NORTHAMPTON ST,42.33523403,-71.07670603,"(42.3352340344479, -71.0767060290036)"
21542,212045154,301,,ROBBERY,D4,273,0,7/2/21 16:38,2021,7,Friday,16,,CAMDEN ST,42.33744114,-71.08057671,"(42.337441144368, -71.0805767102789)"
21637,212045022,801,,ASSAULT - SIMPLE,D4, ,0,7/2/21 8:15,2021,7,Friday,8,,"WASHINGTON ST & NORTHAMPTON ST
BOSTON  MA 02118
UN",42.33600002,-71.07766001,"(42.3360000236433, -71.0776600077562)"
21717,212044909,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4,171,0,7/1/21 18:17,2021,7,Thursday,18,,MASSACHUSETTS AVE,42.33430734,-71.07422022,"(42.334307340205, -71.0742202225068)"
21749,212044868,3005,,SICK ASSIST,D4, ,0,7/1/21 15:52,2021,7,Thursday,15,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)"
21773,212044836,3005,,SICK ASSIST,D4,172,0,7/1/21 14:25,2021,7,Thursday,14,,ALBANY ST,42.33318449,-71.07393881,"(42.333184490912, -71.0739388100238)"
21815,212044781,1402,,VANDALISM,D4,145,0,7/1/21 11:35,2021,7,Thursday,11,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
21816,212044780,801,,ASSAULT - SIMPLE,D4,172,0,7/1/21 11:31,2021,7,Thursday,11,,MASSACHUSETTS AVE,42.33311189,-71.0727637,"(42.3331118903074, -71.0727636993273)"
21825,212044767,3301,,VERBAL DISPUTE,D4,273,0,7/1/21 10:50,2021,7,Thursday,10,,CAMDEN ST,42.33744114,-71.08057671,"(42.337441144368, -71.0805767102789)"
21886,212044689,2905,,VAL - VIOLATION OF AUTO LAW,D4, ,0,7/1/21 1:01,2021,7,Thursday,1,,"SAINT BOTOLPH ST & MASSACHUSETTS AVE
BOSTON  MA 02",42.34218797,-71.084071,"(42.3421879736807, -71.0840709977025)"
21910,212044649,3805,,M/V ACCIDENT - POLICE VEHICLE,D4, ,0,6/30/21 21:46,2021,6,Wednesday,21,,"ALBANY ST & MASSACHUSETTS AVE
BOSTON  MA 02118
UNI",42.33349998,-71.07351,"(42.3334999801716, -71.0735099961732)"
21952,212044592,3410,,TOWED MOTOR VEHICLE,D4,170,0,6/30/21 16:15,2021,6,Wednesday,16,,WORCESTER SQ,42.33663269,-71.07484724,"(42.3366326869971, -71.0748472448538)"
21995,212044539,3005,,SICK ASSIST,D4,594,0,6/30/21 15:16,2021,6,Wednesday,15,,MASSACHUSETTS AVE,42.34186952,-71.0837219,"(42.3418695197559, -71.0837219015865)"
22015,212044509,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4, ,0,6/30/21 13:37,2021,6,Wednesday,13,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)"
22048,212044469,3125,,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),D4,172,0,6/30/21 10:56,2021,6,Wednesday,10,,ALBANY ST,42.33318449,-71.07393881,"(42.333184490912, -71.0739388100238)"
22053,212044463,301,,ROBBERY,D4, ,0,6/30/21 9:46,2021,6,Wednesday,9,,"MASSACHUSETTS AVE & HARRISON AVE
BOSTON  MA 02118
",42.33493701,-71.07515701,"(42.3349370067414, -71.0751570050041)"
22060,212044454,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4, ,0,6/30/21 10:10,2021,6,Wednesday,10,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)"
22112,212044379,3502,,MISSING PERSON - LOCATED,D4,273,0,6/29/21 22:30,2021,6,Tuesday,22,,MASSACHUSETTS AVE,42.33755715,-71.07836018,"(42.3375571460118, -71.0783601818338)"
22200,212044256,3807,,M/V ACCIDENT - OTHER CITY VEHICLE,D4,171,0,6/29/21 15:29,2021,6,Tuesday,15,,"ALBANY ST & MASSACHUSETTS AVE
BOSTON  MA 02118
UNI",42.33349998,-71.07351,"(42.3334999801716, -71.0735099961732)"
22214,212044240,3811,,M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY,D4,273,0,6/29/21 14:50,2021,6,Tuesday,14,,MASSACHUSETTS AVE,42.33828866,-71.07908476,"(42.3382886564083, -71.0790847633429)"
22271,212044165,3006,,SICK/INJURED/MEDICAL - PERSON,D4,171,0,6/29/21 10:49,2021,6,Tuesday,10,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
22291,212044136,2647,,THREATS TO DO BODILY HARM,D4,179,0,6/29/21 8:36,2021,6,Tuesday,8,,MASSACHUSETTS AVE,42.33285585,-71.07262418,"(42.3328558502194, -71.0726241783837)"
22362,212044042,520,,BURGLARY - RESIDENTIAL,D4,170,0,6/28/21 16:40,2021,6,Monday,16,,E SPRINGFIELD ST,42.33602919,-71.07517847,"(42.3360291944093, -71.0751784731697)"
